parameter,component_i,component_j,value,source,provenance_status
k_ij,*,*,0,default zero for unpublished values,unresolved_default_zero
k_ij,Br-,K+,1.0,2008_Held k_ij.csv,source_backed
k_ij,Br-,Li+,1.0,2008_Held k_ij.csv,source_backed
k_ij,Br-,Na+,1.0,2008_Held k_ij.csv,source_backed
k_ij,Cl-,K+,1.0,2008_Held k_ij.csv,source_backed
k_ij,Cl-,Li+,1.0,2008_Held k_ij.csv,source_backed
k_ij,Cl-,Na+,1.0,2008_Held k_ij.csv,source_backed
k_ij,I-,K+,1.0,2008_Held k_ij.csv,source_backed
k_ij,I-,Li+,1.0,2008_Held k_ij.csv,source_backed
k_ij,I-,Na+,1.0,2008_Held k_ij.csv,source_backed
l_ij,*,*,0,default zero for unpublished values,unresolved_default_zero
k_hb_ij,*,*,0,default zero for unpublished values,unresolved_default_zero
